energy,max,risetime,MED,RMS-DS,kurtosis
1352160764,5979.681817,2.48E-10,1.05E-08,7.69E-16,76.40742142
806650425.3,5004.932976,2.48E-10,1.54E-08,8.65E-16,57.07323269
436711871.8,4501.459447,4.91E-10,1.53E-08,1.02E-15,100.2559852
700670479.9,3756.443232,3.31E-10,1.54E-08,8.80E-16,41.66962151
1454906334,5573.482895,4.55E-10,1.20E-08,7.89E-16,58.5037448
1232181288,5144.40917,4.55E-10,1.35E-08,8.18E-16,57.8613351
373299663.9,3606.816339,4.91E-10,1.43E-08,1.02E-15,90.02684339
333072216.5,2677.428908,2.48E-10,1.62E-08,1.11E-15,49.78973639
620375189.5,5000.799007,3.72E-10,1.36E-08,8.98E-16,74.46671925
385761351.5,3835.929876,3.31E-10,1.64E-08,1.03E-15,65.80447069
230554762.1,2476.204578,4.55E-10,1.92E-08,1.16E-15,60.69074392
557060106.4,3787.839662,5.79E-10,1.19E-08,8.67E-16,57.07410767
481545240.3,4294.534575,1.11E-09,1.43E-08,9.62E-16,92.29880191
424582593.4,2710.138019,5.79E-10,1.29E-08,9.28E-16,44.24250608
342375485.8,3654.12431,7.80E-10,1.36E-08,1.05E-15,102.2812413
355229215.5,3570.240163,4.55E-10,1.52E-08,1.05E-15,71.83424586
371784100.6,2808.745403,3.72E-10,1.67E-08,1.07E-15,50.32106891
424519370.3,3692.066974,1.03E-09,1.40E-08,9.84E-16,73.99010166
419953570.3,2719.422469,2.89E-10,1.45E-08,9.84E-16,38.71628499
978334070.6,4877.373778,3.31E-10,1.53E-08,8.70E-16,53.99663993
1185687312,6255.544948,3.72E-10,1.53E-08,9.21E-16,64.18045863
720185480.4,4511.309498,3.31E-10,1.53E-08,8.66E-16,52.92981749
1141360593,5091.95162,4.55E-10,1.19E-08,7.61E-16,55.13528928
441288553.9,3157.677753,3.31E-10,1.80E-08,1.01E-15,49.01153749
805886343.3,5560.492679,5.73E-10,1.22E-08,8.41E-16,87.15112791
289541325.1,2160.70465,2.48E-10,1.54E-08,1.08E-15,43.08480137
1563100933,5516.73616,3.31E-10,1.40E-08,8.21E-16,49.36242803
952391788.4,5818.094517,3.31E-10,1.55E-08,9.67E-16,76.13427244
860265509.9,4805.662491,4.55E-10,1.53E-08,8.80E-16,54.48348047
671111214.7,4357.499484,4.55E-10,1.60E-08,8.82E-16,59.43401083
755627084.8,4621.213046,4.96E-10,1.30E-08,8.82E-16,47.22666349
909627145.6,5495.654085,5.73E-10,1.19E-08,7.99E-16,74.50110118
778316276.4,4823.784002,9.45E-10,1.26E-08,8.40E-16,62.16227444
1394149626,6568.336015,3.72E-10,1.52E-08,8.22E-16,74.23651999
1934720128,6177.248636,3.31E-10,1.40E-08,7.58E-16,43.10184342
1065128566,5010.407037,3.31E-10,1.50E-08,8.70E-16,52.23951498
998510019.5,4549.165815,3.72E-10,1.49E-08,8.13E-16,41.53455432
485495804.1,3412.218085,4.55E-10,1.41E-08,9.86E-16,46.9562011
622537675.3,3779.579484,3.72E-10,1.72E-08,8.75E-16,40.47324066
387830381.5,2873.369076,3.67E-10,1.89E-08,1.03E-15,34.02040885
